,transactTime,transactTimeInMillis,sym,venue,exchangeOrderId,displayQty,orderQty,lastQty,leavesQty,cumQtyQty,clOrdId
301,2017-06-27 12:54:12.911520024,20170627T125412.911Z,,1,9438714400306,0,1000000,0,1000000,0,Order77225
302,2017-06-27 12:54:13.047594145,20170627T125413.047Z,,1,9438714924594,0,1000000,0,1000000,0,Order77226
303,2017-06-27 12:54:13.751227919,20170627T125413.751Z,,1,9438717546034,0,1000000,0,1000000,0,Order77231
304,2017-06-27 12:54:13.899731968,20170627T125413.899Z,,1,0,0,1000000,0,0,0,Order77232
305,2017-06-27 12:54:14.355259719,20170627T125414.355Z,,1,0,0,1000000,0,0,0,Order77235
306,2017-06-27 12:54:14.523269214,20170627T125414.523Z,,1,0,0,1000000,0,0,0,Order77236
307,2017-06-27 12:54:14.675249646,20170627T125414.675Z,,1,0,0,1000000,0,0,0,Order77237
308,2017-06-27 12:54:13.919519603,20170627T125413.919Z,,1,9438718070322,0,1000000,0,1000000,0,Order77232
309,2017-06-27 12:54:14.071019918,20170627T125414.071Z,,1,9438718594610,0,1000000,0,1000000,0,Order77233
310,2017-06-27 12:54:14.87107144,20170627T125414.871Z,,1,9438721216050,0,1000000,0,1000000,0,Order77238
311,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438699195954,0,1000000,0,1000000,0,Order77187
312,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438700768818,0,1000000,0,1000000,0,Order77199
313,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438702341682,0,1000000,0,1000000,0,Order77202
314,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438703914546,0,1000000,0,1000000,0,Order77205
315,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438706011698,0,1000000,0,1000000,0,Order77209
316,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438707584562,0,1000000,0,1000000,0,Order77212
317,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438708108850,0,1000000,0,1000000,0,Order77213
318,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438709681714,0,1000000,0,1000000,0,Order77216
319,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438713351730,0,1000000,0,1000000,0,Order77223
320,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438714400306,0,1000000,0,1000000,0,Order77225
321,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438719118898,0,1000000,0,1000000,0,Order77234
322,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438720167474,0,1000000,0,1000000,0,Order77236
323,2017-06-27 12:51:07.49106786,20170627T125107.491Z,,1,9438699195954,0,1000000,0,1000000,0,Order77187
324,2017-06-27 12:51:41.863117532,20170627T125141.863Z,,1,0,0,2000000,0,0,0,Replace77190
325,2017-06-27 12:55:27.809660497,20170627T125527.809Z,,1,0,0,1000000,0,0,0,Order77244
326,2017-06-27 12:55:28.185620945,20170627T125528.185Z,,1,0,0,1000000,0,0,0,Order77245
327,2017-06-27 12:56:33.184338776,20170627T125633.184Z,,1,0,0,1000000,0,0,0,Order77250
328,2017-06-27 12:55:27.83005484,20170627T125527.830Z,,1,9438722264626,0,1000000,0,1000000,0,Order77244
329,2017-06-27 12:55:41.063342213,20170627T125541.063Z,,1,9438722788914,0,1000000,0,1000000,0,Order77245
330,2017-06-27 12:40:46.791011451,20170627T124046.791Z,,1,3274642031634,0,1000000,0,1000000,0,GUI-cidev100005113ca0000009d
331,2017-06-27 12:41:33.492688566,20170627T124133.492Z,,1,3274642031634,0,1000000,0,1000000,0,GUI-cidev100005113ca0000009d
332,2017-06-27 12:52:33.136230781,20170627T125233.136Z,,1,9438699720242,0,2000000,0,0,0,Cancel77192
333,2017-06-27 12:52:52.549860038,20170627T125252.549Z,,1,0,0,1000000,0,0,0,Order77194
334,2017-06-27 12:51:07.472534126,20170627T125107.472Z,,1,0,0,1000000,0,0,0,Order77187
335,2017-06-27 13:02:09.962316575,20170627T130209.962Z,,1,3670193209922,0,100000000,0,100000000,0,GUI-cidev000005113ca00000091
336,2017-06-27 13:01:32.293920785,20170627T130132.293Z,,1,0,0,1000000,0,0,0,GUI-cidev000005113ca0000008d
337,2017-06-27 13:02:09.938613786,20170627T130209.938Z,,1,0,0,100000000,0,0,0,GUI-cidev000005113ca00000091
338,2017-06-27 13:01:44.434835991,20170627T130144.434Z,,1,0,0,100000000,0,0,0,GUI-cidev000005113ca0000008e
339,2017-06-27 13:01:24.270609499,20170627T130124.270Z,,1,0,0,1000000,0,0,0,GUI-cidev000005113ca0000008c
340,2017-06-27 13:49:56.829462103,20170627T134956.829Z,,1,3274643080210,0,1000000,1000000,0,1000000,GUI-cidev100005260ec00000002
341,2017-06-27 13:08:31.499261694,20170627T130831.499Z,,1,9438723837490,0,1000000,0,1000000,0,Order77250
342,2017-06-27 13:45:20.698264837,20170627T134520.698Z,,1,9438725410354,0,1000000,0,1000000,0,Order77260
343,2017-06-27 14:07:26.284113637,20170627T140726.284Z,,1,3274644653074,0,1000000,0,1000000,0,GUI-cidev000005260ed00000003
344,2017-06-27 13:55:16.105711753,20170627T135516.105Z,,1,0,0,1000000,0,0,0,GUI-cidev000005260ed00000001
345,2017-06-27 14:18:39.644389664,20170627T141839.644Z,,1,6815779655234,0,200000000,0,200000000,0,GUI-cidev-rel052615400000003
346,2017-06-27 14:18:39.644389664,20170627T141839.644Z,,1,0,0,200000000,0,0,0,GUI-cidev-rel052615400000005
347,2017-06-27 14:17:41.806376089,20170627T141741.806Z,,1,3274646225938,0,1000000,0,1000000,0,GUI-cidev000005260ed00000006
348,2017-06-27 14:17:25.856648384,20170627T141725.856Z,,1,9438725934642,0,1000000,0,1000000,0,GUI-cidev100005260ec00000004
349,2017-06-27 14:17:34.416781023,20170627T141734.416Z,,1,9438725934642,0,1000000,0,0,0,GUI-cidev100005260ec00000005
350,2017-06-27 14:17:54.333675168,20170627T141754.333Z,,1,9438726983218,0,1000000,0,1000000,0,GUI-cidev100005260ec00000008
351,2017-06-27 14:17:34.402160924,20170627T141734.402Z,,1,0,0,0,0,0,0,GUI-cidev100005260ec00000005
352,2017-06-27 14:17:54.319431435,20170627T141754.319Z,,1,0,0,1000000,0,0,0,GUI-cidev100005260ec00000008
353,2017-06-27 14:18:06.985878431,20170627T141806.985Z,,1,0,0,0,0,0,0,GUI-cidev100005260ec00000009
354,2017-06-27 15:02:28.102248995,20170627T150228.102Z,,1,0,0,1000000,0,0,0,Order77265
355,2017-06-27 15:02:28.106561909,20170627T150228.106Z,,1,9438728031794,0,1000000,0,1000000,0,Order77265
356,2017-06-27 15:01:47.655124223,20170627T150147.655Z,,1,0,0,1000000,0,0,0,Order77264
357,2017-06-27 15:01:47.659478707,20170627T150147.659Z,,1,9438727507506,0,1000000,0,1000000,0,Order77264
358,2017-06-27 14:52:45.302261853,20170627T145245.302Z,,1,3670193734210,0,200000000,0,200000000,0,GUI-cidev100005260ec0000000b
359,2017-06-27 14:28:36.000635981,20170627T142836.000Z,,1,3274646225938,0,1000000,1000000,0,1000000,GUI-cidev000005260ed00000006
360,2017-06-27 14:14:51.883328129,20170627T141451.883Z,,1,3274645177362,0,1000000,0,1000000,0,GUI-cidev000005260ed00000004
361,2017-06-27 14:28:36.000635981,20170627T142836.000Z,,1,3274646225938,0,1000000,1000000,0,1000000,GUI-cidev000005260ed00000006
362,2017-06-27 15:08:26.013443617,20170627T150826.013Z,,1,3274647798802,0,1000000,0,1000000,0,GUI-cidev1000052746200000001
363,2017-06-27 15:09:00.926360024,20170627T150900.926Z,,1,3274648323090,0,1000000,1000000,0,1000000,GUI-cidev1000052746200000003
364,2017-06-27 15:09:14.14763069,20170627T150914.147Z,,1,3274648847378,0,1000000,1000000,0,1000000,GUI-cidev1000052746200000004
365,2017-06-27 15:09:14.14763069,20170627T150914.147Z,,1,3274649371666,0,1000000,1000000,0,1000000,GUI-cidev1000052746200000005
366,2017-06-27 15:15:32.604035029,20170627T151532.604Z,,1,0,0,0,0,0,0,GUI-cidev0000052746200000015
367,2017-06-27 15:15:52.778162405,20170627T151552.778Z,,1,0,0,25000000,0,0,0,GUI-cidev0000052746200000016
368,2017-06-27 15:10:05.647098164,20170627T151005.647Z,,1,4321661420050,0,25000000,0,0,0,GUI-cidev0000052746200000004
369,2017-06-27 15:12:29.388335484,20170627T151229.388Z,,1,5869541001234,0,25000000,0,25000000,0,GUI-cidev000005274620000000b
370,2017-06-27 15:24:54.706303602,20170627T152454.706Z,,1,0,0,100000000,0,0,0,GUI-cidev000005274620000001b
371,2017-06-27 15:29:25.026924657,20170627T152925.026Z,,1,0,0,501000000,0,0,0,GUI-cidev000005274620000001c
372,2017-06-27 15:11:09.245484437,20170627T151109.245Z,,1,0,0,25000000,0,0,0,GUI-cidev0000052746200000007
373,2017-06-27 15:10:48.408190089,20170627T151048.408Z,,1,0,0,0,0,0,0,GUI-cidev0000052746200000006
374,2017-06-27 15:09:09.013625775,20170627T150909.013Z,,1,0,0,1000000,0,0,0,GUI-cidev1000052746200000004
375,2017-06-27 15:24:54.711603586,20170627T152454.711Z,,1,3670195307074,0,100000000,0,100000000,0,GUI-cidev000005274620000001b
376,2017-06-27 06:24:52.95271832,20170627T062452.952Z,,1,6815778606658,0,250000000,0,250000000,0,GUI-cidev100005113ca00000082
377,2017-06-27 09:19:51.337371806,20170627T091951.337Z,,1,9438690283058,0,1000000,0,1000000,0,GUI-cidev100005113ca00000086
378,2017-06-27 07:42:39.060317695,20170627T074239.060Z,,1,9438689234482,0,1000000,0,1000000,0,GUI-cidev100005113ca00000084
379,2017-06-27 09:53:09.891226571,20170627T095309.891Z,,1,9438692380210,0,1000000,0,1000000,0,GUI-cidev100005113ca0000008c
380,2017-06-27 09:51:21.455530072,20170627T095121.455Z,,1,0,0,1000000,0,0,0,GUI-cidev100005113ca00000087
381,2017-06-27 09:51:44.143604076,20170627T095144.143Z,,1,0,0,1000000,0,0,0,GUI-cidev100005113ca00000088
382,2017-06-27 09:52:07.037189003,20170627T095207.037Z,,1,0,0,1000000,0,0,0,GUI-cidev100005113ca0000008a
383,2017-06-27 10:53:15.405525886,20170627T105315.405Z,,1,0,0,1000000,0,0,0,GUI-cidev100005113ca0000008f
384,2017-06-27 09:19:09.211995593,20170627T091909.211Z,,1,0,0,1000000,0,0,0,GUI-cidev100005113ca00000086
385,2017-06-27 00:53:11.932417339,20170627T005311.932Z,,1,0,0,197000000,0,0,0,GUI-cidev100005113ca00000080
386,2017-06-27 12:28:59.592643239,20170627T122859.592Z,,1,9961484059170,0,1000000,0,1000000,0,GUI-cidev100005113ca0000009a
387,2017-06-27 12:29:06.536940707,20170627T122906.536Z,,1,9961484059170,0,1000000,1000000,0,1000000,GUI-cidev100005113ca0000009a
388,2017-06-27 10:53:29.355952749,20170627T105329.355Z,,1,9438692904498,0,1000000,0,1000000,0,GUI-cidev100005113ca0000008f
389,2017-06-27 11:01:20.242496882,20170627T110120.242Z,,1,9438694477362,0,1000000,0,1000000,0,GUI-cidev100005113ca00000091
390,2017-06-27 11:15:28.734682611,20170627T111528.734Z,,1,0,0,1000000,0,0,0,GUI-cidev100005113ca00000096
391,2017-06-27 11:15:28.724379207,20170627T111528.724Z,,1,0,0,1000000,0,0,0,GUI-cidev100005113ca00000096
392,2017-06-27 11:08:26.767531468,20170627T110826.767Z,,1,0,0,1000000,0,0,0,GUI-cidev100005113ca00000092
393,2017-06-27 12:28:59.583749856,20170627T122859.583Z,,1,0,0,1000000,0,0,0,GUI-cidev100005113ca0000009a
394,2017-06-27 12:19:19.178678519,20170627T121919.178Z,,1,0,0,1000000,0,0,0,GUI-cidev100005113ca00000097
395,2017-06-27 12:48:11.964086966,20170627T124811.964Z,,1,0,0,1000000,0,0,0,Order77180
396,2017-06-27 12:54:07.111899356,20170627T125407.111Z,,1,9438704963122,0,1000000,0,1000000,0,Order77207
397,2017-06-27 12:54:07.29583608,20170627T125407.295Z,,1,9438705487410,0,1000000,0,1000000,0,Order77208
398,2017-06-27 12:54:08.191819795,20170627T125408.191Z,,1,9438708108850,0,1000000,0,1000000,0,Order77213
399,2017-06-27 12:54:12.670622089,20170627T125412.670Z,,1,9438713351730,0,1000000,0,1000000,0,Order77223
400,2017-06-27 12:54:04.900283075,20170627T125404.900Z,,1,0,0,1000000,0,0,0,Order77199
401,2017-06-27 12:54:06.444025664,20170627T125406.444Z,,1,0,0,1000000,0,0,0,Order77206
402,2017-06-27 12:54:07.996099259,20170627T125407.996Z,,1,0,0,1000000,0,0,0,Order77212
403,2017-06-27 12:54:08.811869113,20170627T125408.811Z,,1,0,0,1000000,0,0,0,Order77217
404,2017-06-27 12:54:09.315976747,20170627T125409.315Z,,1,0,0,1000000,0,0,0,Order77220
405,2017-06-27 12:54:09.499852635,20170627T125409.499Z,,1,0,0,1000000,0,0,0,Order77221
406,2017-06-27 12:54:12.650835582,20170627T125412.650Z,,1,0,0,1000000,0,0,0,Order77223
407,2017-06-27 12:54:12.770812859,20170627T125412.770Z,,1,0,0,1000000,0,0,0,Order77224
408,2017-06-27 12:54:12.891739053,20170627T125412.891Z,,1,0,0,1000000,0,0,0,Order77225
409,2017-06-27 12:54:13.155708764,20170627T125413.155Z,,1,0,0,1000000,0,0,0,Order77227
410,2017-06-27 12:54:13.571949731,20170627T125413.571Z,,1,0,0,1000000,0,0,0,Order77230
411,2017-06-27 12:54:13.175497502,20170627T125413.175Z,,1,9438715448882,0,1000000,0,1000000,0,Order77227
412,2017-06-27 12:54:14.051228069,20170627T125414.051Z,,1,0,0,1000000,0,0,0,Order77233
413,2017-06-27 12:54:14.375060244,20170627T125414.375Z,,1,9438719643186,0,1000000,0,1000000,0,Order77235
414,2017-06-27 12:54:14.851262489,20170627T125414.851Z,,1,0,0,1000000,0,0,0,Order77238
415,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438698147378,0,1000000,0,1000000,0,Order77182
416,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438702865970,0,1000000,0,1000000,0,Order77203
417,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438704438834,0,1000000,0,1000000,0,Order77206
418,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438707060274,0,1000000,0,1000000,0,Order77211
419,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438713876018,0,1000000,0,1000000,0,Order77224
420,2017-06-27 12:54:38.290947471,20170627T125438.290Z,,1,9438715973170,0,1000000,0,1000000,0,Order77228
421,2017-06-27 12:55:28.534012179,20170627T125528.534Z,,1,9438723313202,0,1000000,0,1000000,0,Order77246
422,2017-06-27 12:55:41.063342213,20170627T125541.063Z,,1,9438721740338,0,1000000,0,1000000,0,Order77243
423,2017-06-27 13:01:44.458405501,20170627T130144.458Z,,1,0,0,100000000,0,0,0,GUI-cidev000005113ca0000008e
424,2017-06-27 13:01:32.270414421,20170627T130132.270Z,,1,0,0,1000000,0,0,0,GUI-cidev000005113ca0000008d
425,2017-06-27 12:48:20.965192357,20170627T124820.965Z,,1,9438698147378,0,1000000,0,1000000,0,Order77182
426,2017-06-27 13:03:48.359656451,20170627T130348.359Z,,1,0,0,0,0,0,0,GUI-cidev000005113ca00000092
427,2017-06-27 12:51:40.247536271,20170627T125140.247Z,,1,0,0,1000000,0,0,0,Order77189
428,2017-06-27 12:54:19.634702732,20170627T125419.634Z,,1,0,0,0,0,0,0,Cancel77239
429,2017-06-27 14:17:41.791757213,20170627T141741.791Z,,1,0,0,1000000,0,0,0,GUI-cidev000005260ed00000006
430,2017-06-27 14:18:16.563915297,20170627T141816.563Z,,1,0,0,200000000,0,0,0,GUI-cidev-rel052615400000002
431,2017-06-27 14:17:25.771492265,20170627T141725.771Z,,1,0,0,1000000,0,0,0,GUI-cidev100005260ec00000004
432,2017-06-27 14:18:16.579036155,20170627T141816.579Z,,1,6815779130946,0,200000000,0,200000000,0,GUI-cidev-rel052615400000002
433,2017-06-27 13:49:56.829462103,20170627T134956.829Z,,1,3274642555922,0,1000000,1000000,0,1000000,GUI-cidev100005260ec00000001
434,2017-06-27 14:28:36.000635981,20170627T142836.000Z,,1,3274646750226,0,1000000,1000000,0,1000000,GUI-cidev000005260ed00000007
435,2017-06-27 14:00:31.891494376,20170627T140031.891Z,,1,3274643604498,0,1000000,0,1000000,0,GUI-cidev000005260ed00000001
436,2017-06-27 13:45:22.502173254,20170627T134522.502Z,,1,0,0,2000000,0,0,0,Replace77261
437,2017-06-27 14:16:17.107032469,20170627T141617.107Z,,1,3274645701650,0,1000000,0,1000000,0,GUI-cidev000005260ed00000005
438,2017-06-27 13:17:57.867212125,20170627T131757.867Z,,1,0,0,1000000,0,0,0,Order77252
439,2017-06-27 14:07:26.257485132,20170627T140726.257Z,,1,0,0,1000000,0,0,0,GUI-cidev000005260ed00000003
440,2017-06-27 15:09:00.926360024,20170627T150900.926Z,,1,3274647798802,0,1000000,1000000,0,1000000,GUI-cidev1000052746200000001
441,2017-06-27 15:09:09.018129878,20170627T150909.018Z,,1,3274648847378,0,1000000,0,1000000,0,GUI-cidev1000052746200000004
442,2017-06-27 15:09:06.793327317,20170627T150906.793Z,,1,4321660895762,0,25000000,0,25000000,0,GUI-cidev0000052746200000001
443,2017-06-27 15:14:36.160660201,20170627T151436.160Z,,1,4321661944338,0,200000000,0,200000000,0,GUI-cidev0000052746200000012
444,2017-06-27 15:05:22.118506903,20170627T150522.118Z,,1,9438728556082,0,1000000,0,1000000,0,Order77266
445,2017-06-27 15:14:46.061326841,20170627T151446.061Z,,1,3274649895954,0,1000000,0,1000000,0,GUI-cidev1000052746200000006
446,2017-06-27 15:11:49.351802975,20170627T151149.351Z,,1,0,0,25000000,0,0,0,GUI-cidev0000052746200000009
447,2017-06-27 15:12:29.383865047,20170627T151229.383Z,,1,0,0,25000000,0,0,0,GUI-cidev000005274620000000b
448,2017-06-27 15:15:13.963348387,20170627T151513.963Z,,1,0,0,25000000,0,0,0,GUI-cidev0000052746200000014
449,2017-06-27 14:52:35.205564723,20170627T145235.205Z,,1,0,0,200000000,0,0,0,GUI-cidev100005260ec0000000a
450,2017-06-27 15:15:13.968275853,20170627T151513.968Z,,1,9564374699026,0,25000000,0,25000000,0,GUI-cidev0000052746200000014
451,2017-06-27 15:14:59.929692687,20170627T151459.929Z,,1,4321662468626,0,300000000,200000000,0,200000000,GUI-cidev-rel052615400000007
452,2017-06-27 15:29:25.022810209,20170627T152925.022Z,,1,0,0,501000000,0,0,0,GUI-cidev000005274620000001c
453,2017-06-27 15:27:36.343914708,20170627T152736.343Z,,1,3670195307074,0,100000000,0,100000000,0,GUI-cidev000005274620000001b
454,2017-06-27 15:24:47.148038677,20170627T152447.148Z,,1,3670194782786,0,100000000,0,0,0,GUI-cidev000005274620000001a
